Sample	Celltype	nUMI_Peak	SingleCell_Min_nUMI	SingleCell_Max_nUMI
A10_36_1	Alpha	5553.5	2776.75	8330.25
A10_36_2	Alpha	5318.5	2659.25	7977.75
A10_72_1	Alpha	6729	3364.5	10093.5
A10_72_2	Alpha	8374.5	4187.25	12561.75
A10_72_3	Alpha	8139.5	4069.75	12209.25
DMSO_36_1	Alpha	4143.5	2071.75	6215.25
DMSO_36_2	Alpha	4613.5	2306.75	6920.25
DMSO_72_1	Alpha	5553.5	2776.75	8330.25
DMSO_72_2	Alpha	7669.5	3834.75	11504.25
DMSO_72_3	Alpha	8139.5	4069.75	12209.25
A10_36_1	Beta	6964.5	3482.25	10446.75
A10_36_2	Beta	6729	3364.5	10093.5
A10_72_1	Beta	8609.5	4304.75	12914.25
A10_72_2	Beta	11430.5	5715.25	17145.75
A10_72_3	Beta	11195.5	5597.75	16793.25
DMSO_36_1	Beta	5318.5	2659.25	7977.75
DMSO_36_2	Beta	5553.5	2776.75	8330.25
DMSO_72_1	Beta	6023.5	3011.75	9035.25
DMSO_72_2	Beta	10255.5	5127.75	15383.25
DMSO_72_3	Beta	10255.5	5127.75	15383.25